generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
164,50,0,50,0.0,13,15,687350.2051515973,21.34,36.2,13,15,0,16,1,1,18,1,32,6,0,7,9,46
165,50,0,50,0.0,13,15,686541.3590697307,21.34,36.2,13,15,0,16,0,0,16,0,34,6,0,7,9,46
166,50,0,50,0.0,13,15,685712.6651112098,21.34,36.2,13,15,0,14,0,0,14,0,36,6,0,7,9,46
167,50,1,49,0.02,13,15,684863.7602184964,21.3,36.22,13,15,1,18,0,0,18,0,31,6,0,7,9,46
168,50,2,48,0.04,13,15,683994.2769334351,21.16,36.4,13,15,2,19,0,0,19,0,29,6,0,7,9,46
169,50,3,47,0.06,13,15,683103.8433707433,21.12,36.28,13,15,3,13,0,0,13,0,34,6,0,7,9,46
170,50,2,48,0.04,13,15,682192.0831915025,21.02,36.3,13,15,2,11,0,0,11,0,37,6,0,7,9,46
171,50,0,50,0.0,13,15,681258.6155766475,21.02,36.3,13,15,0,19,0,0,19,0,31,6,0,7,9,46
172,50,2,48,0.04,13,15,680303.0552004569,21.0,36.16,13,15,2,17,0,0,17,0,31,6,0,7,9,46
173,50,0,50,0.0,13,15,679325.0122040438,21.0,36.16,13,15,0,17,0,0,17,0,33,6,0,7,9,46
174,50,0,50,0.0,13,15,678324.0921688455,21.0,36.16,13,15,0,18,0,0,18,0,32,6,0,7,9,46
175,50,1,49,0.02,13,15,677299.8960901143,20.78,35.92,13,15,1,17,1,0,18,0,31,6,0,7,9,46
176,50,1,49,0.02,13,15,676252.0203504071,20.74,35.92,13,15,1,10,1,0,11,0,38,6,0,7,9,46
177,50,2,48,0.04,13,15,675180.0566930766,20.68,36.02,13,15,2,19,0,0,19,0,29,6,0,7,9,46
178,50,1,49,0.02,13,15,674083.59219576,20.68,35.78,13,15,1,16,0,0,16,0,33,6,0,7,9,46
179,50,1,49,0.02,13,15,672962.2092438713,20.66,35.44,13,15,1,18,0,0,18,0,31,6,0,7,9,46
180,50,1,49,0.02,13,15,671815.4855040895,20.6,35.62,13,15,1,12,0,0,12,0,37,6,0,7,9,46
181,50,2,48,0.04,13,15,670642.9938978511,20.5,35.68,13,15,2,19,1,0,20,0,28,6,0,7,9,46
182,50,1,49,0.02,13,15,669444.302574838,20.4,36.16,13,15,1,23,1,0,24,0,25,6,0,7,9,46
183,50,1,49,0.02,13,15,668218.9748864694,20.38,36.38,13,15,1,21,1,0,22,0,27,6,0,7,9,46
