run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,19,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,20,2,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,21,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,22,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,23,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,24,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,25,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,25,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,26,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,27,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,28,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,28,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,30,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,30,1,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,32,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,34,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,36,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,36,1,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,43,0,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,44,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,44,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,46,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,46,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,49,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,51,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,52,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,53,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,54,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,8,55,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,2,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,3,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,4,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,6,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,6,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,7,0,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,8,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,9,0,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,9,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,10,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,10,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,11,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,12,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,15,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,16,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,17,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,19,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,20,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,21,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,22,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,26,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,27,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,29,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,29,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,30,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,31,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,31,1,4
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,35,2,5
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,37,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,38,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,39,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,40,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,41,2,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,42,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,42,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,43,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,43,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,98,9,44,0,1
