global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
80,stage1,80,4612637.323369387,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.998976
81,stage1,81,4612334.596396653,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9989103798746874
82,stage1,82,4612016.545067939,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99884143799
83,stage1,83,4611682.594808018,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9987690497990624
84,stage1,84,4611332.156855686,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99869308768
85,stage1,85,4610964.628090767,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9986134208984375
86,stage1,86,4610579.390861112,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99852991557
87,stage1,87,4610175.812809594,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9984424346228125
88,stage1,88,4609753.246701115,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99835083776
89,stage1,89,4609311.030249605,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9982549814221875
90,stage1,90,4608848.485945019,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99815471875
91,stage1,91,4608364.920880338,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9980498995465625
92,stage1,92,4607859.626578577,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99794037024
93,stage1,93,4607331.878819771,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9978259738459375
94,stage1,94,4606780.937467989,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.99770654993
95,stage1,95,4606206.046298325,7617.670664011455,58843.432702115366,1131.8928205415793,98,6,0,58,0.9975819345703125
96,stage1,96,4602559.005487817,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99745196032
97,stage1,97,4601934.284975282,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9973164561696874
98,stage1,98,4601283.264722022,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99717524751
99,stage1,99,4600605.1229489315,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9970281560940625
100,stage1,100,4599899.020933902,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.996875
101,stage1,101,4599164.102838926,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9967155935934375
102,stage1,102,4598399.495537213,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99654974749
103,stage1,103,4597604.308440302,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9963772685178125
104,stage1,104,4596777.633325172,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99619795968
105,stage1,105,4595918.544161354,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9960116201171875
106,stage1,106,4595026.096938048,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99581804507
107,stage1,107,4594099.329491226,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9956170258415625
108,stage1,108,4593137.2613307545,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.99540834976
109,stage1,109,4592138.893467497,6212.152158109653,58805.386152342464,1131.8928205415793,98,6,0,58,0.9951918001409374
