global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
119,stage1,119,2471811.2665449474,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9925426448128125
120,stage1,120,2471019.021983819,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.992224
121,stage1,121,2470199.9245193703,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9918945548121875
122,stage1,122,2469353.2972348584,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99155403699
123,stage1,123,2468478.4519319814,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9912021697365625
124,stage1,124,2467574.689037646,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99083867168
125,stage1,125,2466641.297510729,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9904632568359375
126,stage1,126,2465677.554748841,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.99007563457
127,stage1,127,2464682.726495092,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9896755095603125
128,stage1,128,2463656.066744855,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.98926258176
129,stage1,129,2462596.8176525305,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9888365463596875
130,stage1,130,2461504.2094383067,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.98839709375
131,stage1,131,2460377.4602949303,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9879439094840625
132,stage1,132,2459215.7762944633,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.98747667424
133,stage1,133,2458018.351295053,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9869950637834375
134,stage1,134,2456784.3668476916,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.98649874893
135,stage1,135,2455512.992102982,9022.432853679113,58639.00017463869,757.6201890126889,53,6,0,0.9859873955078124
136,stage1,136,2453912.3379208455,9796.992299801052,58631.11717379511,757.6201890126889,53,6,0,0.98546066432
137,stage1,137,2452563.8212746605,9796.992299801052,58631.11717379511,757.6201890126889,53,6,0,0.9849182111071875
138,stage1,138,2451175.35181993,9796.992299801052,58631.11717379511,757.6201890126889,53,6,0,0.98435968651
139,stage1,139,2449746.0482918248,9796.992299801052,58631.11717379511,757.6201890126889,53,6,0,0.9837847360315625
140,stage1,140,2448275.016560679,9796.992299801052,58631.11717379511,757.6201890126889,53,6,0,0.983193
141,stage1,141,2403544.1570206075,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.9825841135309376
142,stage1,142,2402014.509270035,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.98195770649
143,stage1,143,2400441.1605953113,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.9813134034553125
144,stage1,144,2398823.181235813,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.98065082368
145,stage1,145,2397159.6283360184,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.9799695810546875
146,stage1,146,2395449.5458539375,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.97926928407
147,stage1,147,2393691.9644695343,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.9785495357790625
148,stage1,148,2391885.9014931596,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.97780993376
149,stage1,149,2390030.3607739755,8459.11403860588,58700.455480976605,757.6201890126889,52,7,0,0.9770500700784375
150,stage1,150,2386791.6708273706,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.97626953125
151,stage1,151,2384835.2249192386,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9754678982028125
152,stage1,152,2382826.2604746395,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.97464474624
153,stage1,153,2380763.727169063,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9737996450021875
154,stage1,154,2378646.5607667174,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.97293215843
155,stage1,155,2376473.6830290104,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9720418447265625
156,stage1,156,2374244.0016230266,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.97112825632
157,stage1,157,2371956.4100300074,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9701909398259375
158,stage1,158,2369609.7874538247,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.96922943601
159,stage1,159,2367202.9987294665,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9682432797503124
160,stage1,160,2364734.894231508,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.967232
161,stage1,161,2362204.3097825963,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9661951197496875
162,stage1,162,2359610.0665619243,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.96513215599
163,stage1,163,2356950.971013711,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9640426196740625
164,stage1,164,2354225.8147556805,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.96292601568
165,stage1,165,2351433.374487539,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9617818427734375
166,stage1,166,2348572.411899454,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.96060959357
167,stage1,167,2345641.673580533,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9594087544978125
168,stage1,168,2342639.890927301,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.95817880576
169,stage1,169,2339565.7800521795,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9569192212971875
170,stage1,170,2336418.041691965,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.95562946875
171,stage1,171,2333195.3611163083,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9543090094215625
172,stage1,172,2329896.4080361896,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.95295729824
173,stage1,173,2326519.836512402,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9515737837209375
174,stage1,174,2323064.284864025,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.95015790793
175,stage1,175,2319528.3755769054,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9487091064453125
176,stage1,176,2315910.715212137,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.94722680832
177,stage1,177,2312209.894314536,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9457104360446875
178,stage1,178,2308424.4873211193,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.94415940551
179,stage1,179,2304553.0524695893,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9425731259690625
180,stage1,180,2300594.1317068026,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.940951
181,stage1,181,2296546.2505972553,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9392924234684374
182,stage1,182,2292407.918231561,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.93759678549
183,stage1,183,2288177.6271349243,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9358634683928125
184,stage1,184,2283853.8531756243,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.93409184768
185,stage1,185,2279435.055473492,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.9322812919921875
186,stage1,186,2274919.6763083874,8462.138224403174,58667.678284605834,757.6201890126889,52,7,0,0.93043116307
187,stage1,187,2227229.5088194287,8005.584954626733,58681.55649616897,757.6201890126889,51,7,0,0.9285408157165624
188,stage1,188,2222401.0313542485,8028.253821307416,58676.11809356249,757.6201890126889,51,7,0,0.9266095977600001
189,stage1,189,2216970.2621335243,8144.048061332915,58657.22131691456,757.6201890126889,51,7,0,0.9246368500159375
190,stage1,190,2212148.0692347996,8144.048061332915,58657.22131691456,757.6201890126889,51,7,0,0.9226219062500001
191,stage1,191,2206063.5442257514,8138.919199311998,58626.39147128875,757.6201890126889,51,7,0,0.9205640931403125
192,stage1,192,2200779.2979457243,8185.199653600722,58619.457347005045,757.6201890126889,51,7,0,0.91846273024
193,stage1,193,2195647.721793979,8185.199653600722,58619.457347005045,757.6201890126889,51,7,0,0.9163171299396875
194,stage1,194,2190331.0209437297,8217.780136312153,58617.33423457779,757.6201890126889,51,7,0,0.91412659743
195,stage1,195,2184348.0861847056,8209.45763037617,58600.30219779991,757.6201890126889,51,7,0,0.9118904306640625
196,stage1,196,2178832.8195685577,8228.448173761562,58598.71510172575,757.6201890126889,51,7,0,0.90960792032
197,stage1,197,2173212.840910253,8304.317490371172,58597.25367619254,757.6201890126889,51,7,0,0.9072783497634375
198,stage1,198,2166744.4890998867,8309.450928196951,58576.02279254202,757.6201890126889,51,7,0,0.90490099501
199,stage1,199,2160787.99367882,8308.409358876292,58571.71448174888,757.6201890126889,51,7,0,0.9024751246878124
200,stage1,200,2154856.6203262606,8307.454165083162,58571.266945855445,757.6201890126889,51,7,0,0.9
