run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,34,70,87,13,26,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,87,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,35,20,26,12,26,1,0.16666666666666666,0.16666666666666666,0.6666666666666666,schedule,1.8292249014868085,26,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,36,87,88,8,26,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,reroute,1.8292249014868085,88,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,37,15,23,37,51,2,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,23,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,38,15,24,37,51,2,0.16666666666666666,0.16666666666666666,0.6666666666666666,schedule,1.8292249014868085,24,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,39,23,24,37,51,2,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,24,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,40,70,91,39,26,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,91,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,41,32,67,51,34,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,speed,1.8292249014868085,67,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,42,29,73,45,16,1,0.6666666666666667,0.16666666666666669,0.16666666666666669,schedule,1.8292249014868085,73,2,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,43,29,73,44,17,1,0.16666666666666669,0.6666666666666667,0.16666666666666669,reroute,1.8292249014868085,73,2,generation_best
