run_id,global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,38,stage1,38,4753455.009090559,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.97464474624,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,39,stage1,39,4736317.565493798,103,2003.9202745780453,59143.83068292799,1135.7649847527048,0.97112825632,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,40,stage1,40,4672557.734474915,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.967232,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,41,stage1,41,4651772.239380613,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.96292601568,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,42,stage1,42,4628856.896181272,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.95817880576,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,43,stage1,43,4603652.062425208,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.95295729824,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,44,stage1,44,4575990.310484574,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.94722680832,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,45,stage1,45,4545696.242194019,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.940951,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,46,stage1,46,4512586.303489359,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.93409184768,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,47,stage1,47,4476468.599046234,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.9266095977600001,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,48,stage1,48,4437142.706918767,102,2862.423150303636,59155.85976565424,1136.7121628831067,0.91846273024,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,49,stage1,49,4394113.996429663,102,2881.385873280562,59152.00297012975,1136.8598664122303,0.90960792032,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,50,stage1,50,4347629.175381802,102,2902.36801025885,59150.50200512546,1136.646246189605,0.9,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,51,stage2,1,2240155.5330869853,46,21548.23399947251,60704.61861882576,1129.2599813975694,0.99999999968,20,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,52,stage2,2,916660.5885960906,19,36078.587029497015,59819.1877661135,1140.5512212169451,0.99999998976,25,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,53,stage2,3,916660.5272034189,19,36078.587029497015,59819.1877661135,1140.5512212169451,0.99999992224,25,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,54,stage2,4,679036.8660275647,14,37181.028317315606,59943.453004548945,1141.88303954963,0.99999967232,27,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,55,stage2,5,679036.4146543228,14,37181.028317315606,59943.453004548945,1141.88303954963,0.999999,27,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,56,stage2,6,679035.415445875,14,37181.028317315606,59943.453004548945,1141.88303954963,0.99999751168,27,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,57,stage2,7,679033.4752498976,14,37181.028317315606,59943.453004548945,1141.88303954963,0.99999462176,27,0
