run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,32,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,32,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,33,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,33,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,34,1,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,36,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,40,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,43,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,44,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,46,0,5
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,49,0,4
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,50,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,51,0,4
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,52,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,53,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,55,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,8,59,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,4,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,8,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,9,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,10,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,9,12,0,1
