global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
172,stage1,172,3156144.3279672405,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.95295729824
173,stage1,173,3151567.6890260717,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9515737837209375
174,stage1,174,3146883.999631143,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.95015790793
175,stage1,175,3142091.3926859433,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9487091064453125
176,stage1,176,3137187.9795093876,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.94722680832
177,stage1,177,3132171.8497117725,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9457104360446875
178,stage1,178,3127041.071070719,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.94415940551
179,stage1,179,3121793.689407133,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9425731259690625
180,stage1,180,3116427.7284611478,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.940951
181,stage1,181,3110941.18976808,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9392924234684374
182,stage1,182,3105332.052534378,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.93759678549
183,stage1,183,3099598.2735135714,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9358634683928125
184,stage1,184,3093737.7868822254,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.93409184768
185,stage1,185,3087748.5041158884,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9322812919921875
186,stage1,186,3081628.313865046,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.93043116307
187,stage1,187,3075375.081831067,6282.864623385283,59071.07894566331,1125.462026486791,70,4,0,61,0.9285408157165624
188,stage1,188,3065108.4934089724,6292.250292067955,58996.41745976169,1118.4752781453894,70,4,0,61,0.9266095977600001
189,stage1,189,3057646.49780052,6332.308299746885,58978.15808522596,1117.8902801307045,70,4,0,61,0.9246368500159375
190,stage1,190,3006542.8922480606,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.9226219062500001
191,stage1,191,2999845.586486282,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.9205640931403125
192,stage1,192,2993006.5446930327,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.91846273024
193,stage1,193,2986023.528992478,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.9163171299396875
194,stage1,194,2978894.2780758482,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.91412659743
195,stage1,195,2971616.5070793927,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.9118904306640625
196,stage1,196,2964187.9074623324,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.90960792032
197,stage1,197,2956606.146884811,6829.560713911302,58959.68023509422,1118.4031491144917,69,4,0,60,0.9072783497634375
198,stage1,198,2943209.17402779,8640.871404631556,58842.68034585184,1116.3677054343439,69,5,0,60,0.90490099501
199,stage1,199,2935329.122569682,8630.004212056765,58842.68034585184,1116.3677054343439,69,5,0,60,0.9024751246878124
200,stage1,200,2927289.6305803587,8630.004212056765,58842.68034585184,1116.3677054343439,69,5,0,60,0.9
