action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
cruise_level,14,32,31,32,31,True,False,17.148200000065117,pairs_decreased,1,0,0,stage2_independent_matching,13,0,14-93,1,crossing,reroute,0,0.0009765625,0.7484375,0.2505859375,ADM_ref6_independent_matching,13,0,14,93,reroute,14,32,31,32,31,0.00048828125,0.37421875,0.62529296875
cruise_level,15,31,30,31,30,True,False,7.725599999957922,pairs_decreased,1,0,1,stage2_independent_matching,14,0,15-67,1,crossing,reroute,0,0.00048828125,0.37421875,0.62529296875,ADM_ref6_independent_matching,14,0,15,67,reroute,15,31,30,31,30,0.000244140625,0.187109375,0.812646484375
cruise_level,15,30,29,30,29,True,False,7.648999999673833,pairs_decreased,1,0,0,stage2_independent_matching,15,0,15-75,1,crossing,reroute,0,0.000244140625,0.187109375,0.812646484375,ADM_ref6_independent_matching,15,0,15,75,reroute,15,30,29,30,29,0.0001220703125,0.0935546875,0.9063232421875
cruise_level,19,29,28,29,28,True,False,8.051599999816972,pairs_decreased,1,0,0,stage2_independent_matching,16,0,19-71,1,crossing,reroute,0,0.0001220703125,0.0935546875,0.9063232421875,ADM_ref6_independent_matching,16,0,19,71,reroute,19,29,28,29,28,6.103515625e-05,0.04677734375,0.95316162109375
cruise_level,22,28,26,28,26,True,False,7.959500000197295,pairs_decreased,1,0,0,stage2_independent_matching,17,0,22-32,1,crossing,reroute,0,6.103515625e-05,0.04677734375,0.95316162109375,ADM_ref6_independent_matching,17,0,22,32,reroute,22,28,26,28,26,3.0517578125e-05,0.023388671875,0.976580810546875
speed,35,26,25,26,26,True,False,8.457299999918177,pairs_decreased,1,1,0,stage2_independent_matching,18,0,23-35,1,head_to_head,speed,0,0.0375,0.0375,0.925,ADM_ref6_independent_matching,18,0,23,35,speed,35,26,26,26,25,0.01875,0.51875,0.4625
delay,35,25,25,26,25,False,True,7.694200000059936,rollback,2,0,1,stage2_independent_matching,19,0,35-67,2,head_to_head,delay,0,0.01875,0.51875,0.4625,ADM_ref6_independent_matching,19,0,35,67,delay,35,26,25,25,25,,,
delay,67,25,25,26,25,False,True,7.4940999998034385,rollback,2,1,0,stage2_independent_matching,19,0,35-67,2,head_to_head,delay,1,0.01875,0.51875,0.4625,ADM_ref6_independent_matching,19,0,35,67,delay,67,26,25,25,25,,,
delay,35,25,24,26,59,True,False,7.778099999995902,pairs_decreased,2,0,1,stage2_independent_matching,19,0,35-67,2,head_to_head,delay,2,0.01875,0.51875,0.4625,ADM_ref6_independent_matching,19,0,35,67,delay,35,26,59,25,24,0.509375,0.259375,0.23125
delay,11,24,27,59,29,False,True,7.439000000431406,rollback,36,3,3,stage2_independent_matching,20,0,11-35,36,cluster,delay,0,0.4375,0.0375,0.525,ADM_ref6_independent_matching,20,0,11,35,delay,11,59,29,24,27,,,
