action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,34,19,19,19,20,True,False,7.9106000002866494,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,54,0,34-64,1,crossing,reroute,0,0.4921797417337075,0.5078202581964433,6.984919309616089e-11,ADM_ref6_independent_matching,0.24608987086685374,0.25391012909822164,0.5000000000349246,54,0,34,64,reroute,34,19,20,19,19
cruise_level,34,19,19,20,19,True,False,8.252099999936036,local_pair_points_decreased,2.0,0.0,1.0,stage2_independent_matching,55,0,34-72,2,head_to_head,reroute,0,1.1444091796875e-06,1.1444091796875e-06,0.9999977111816406,ADM_ref6_independent_matching,5.7220458984375e-07,5.7220458984375e-07,0.9999988555908204,55,0,34,72,reroute,34,20,19,19,19
speed,15,19,19,19,19,False,True,7.956300000387273,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,0,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,15,19,19,19,19
speed,15,19,19,19,19,False,True,8.258999999725347,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,1,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,15,19,19,19,19
speed,15,19,19,19,19,False,True,8.510800000294694,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,2,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,15,19,19,19,19
speed,34,19,20,19,20,False,True,8.717299999716488,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,3,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,34,19,20,19,20
speed,34,19,20,19,20,False,True,12.229800000113755,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,4,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,34,19,20,19,20
speed,15,19,19,19,19,False,True,25.56959999992614,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,5,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,15,19,19,19,19
speed,15,19,19,19,19,False,True,8.99680000020453,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,6,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,15,19,19,19,19
speed,34,19,19,19,19,False,True,8.482100000037462,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,7,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,34,19,19,19,19
speed,34,19,19,19,19,False,True,9.309900000062044,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,8,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,34,19,19,19,19
speed,34,19,19,19,19,False,True,9.28429999976288,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,56,0,15-34,1,crossing,speed,9,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,,,,56,0,15,34,speed,34,19,19,19,19
cruise_level,15,19,20,19,20,True,False,8.240899999691464,local_pair_points_decreased,1.0,0.0,2.0,stage2_independent_matching,56,0,15-34,1,crossing,reroute,0,0.24608987086685374,0.25391012909822164,0.5000000000349246,ADM_ref6_independent_matching,0.12304493543342687,0.12695506454911082,0.7500000000174623,56,0,15,34,reroute,15,19,20,19,20
cruise_level,15,20,19,20,19,True,False,8.098999999674561,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,57,0,15-64,1,head_to_head,reroute,0,5.7220458984375e-07,5.7220458984375e-07,0.9999988555908204,ADM_ref6_independent_matching,2.86102294921875e-07,2.86102294921875e-07,0.9999994277954102,57,0,15,64,reroute,15,20,19,20,19
cruise_level,15,19,20,19,20,True,False,8.731599999919126,local_pair_points_decreased,1.0,0.0,2.0,stage2_independent_matching,58,0,15-34,1,crossing,reroute,0,0.12304493543342687,0.12695506454911082,0.7500000000174623,ADM_ref6_independent_matching,0.061522467716713436,0.06347753227455541,0.8750000000087311,58,0,15,34,reroute,15,19,20,19,20
cruise_level,15,20,19,20,19,True,False,8.60000000011496,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,59,0,15-64,1,head_to_head,reroute,0,2.86102294921875e-07,2.86102294921875e-07,0.9999994277954102,ADM_ref6_independent_matching,1.430511474609375e-07,1.430511474609375e-07,0.999999713897705,59,0,15,64,reroute,15,20,19,20,19
