global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,delta
117,stage1,117,2654332.977607386,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9931485998884375
118,stage1,118,2653538.1392754,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99285075701
119,stage1,119,2652715.8957281914,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9925426448128125
120,stage1,120,2651865.544318613,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.992224
121,stage1,121,2650986.370490669,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9918945548121875
122,stage1,122,2650077.6476794365,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99155403699
123,stage1,123,2649138.637210997,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9912021697365625
124,stage1,124,2648168.5882023578,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99083867168
125,stage1,125,2647166.73746138,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9904632568359375
126,stage1,126,2646132.3093867027,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.99007563457
127,stage1,127,2645064.5158676677,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9896755095603125
128,stage1,128,2643962.5561842504,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98926258176
129,stage1,129,2642825.6169069773,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9888365463596875
130,stage1,130,2641652.8717968585,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98839709375
131,stage1,131,2640443.4817053108,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9879439094840625
132,stage1,132,2639196.594474083,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98747667424
133,stage1,133,2637911.344835181,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9869950637834375
134,stage1,134,2636586.8543107943,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98649874893
135,stage1,135,2635222.2311132234,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9859873955078124
136,stage1,136,2633816.570044802,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98546066432
137,stage1,137,2632368.9523978247,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9849182111071875
138,stage1,138,2630878.4458544725,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.98435968651
139,stage1,139,2629344.1043867376,7305.4403060441155,58523.02148900109,757.6201890126889,57,6,0,0.9837847360315625
140,stage1,140,2625217.3072453463,5931.02020388036,58467.79107384474,757.6201890126889,57,6,0,0.983193
141,stage1,141,2623593.9359884923,5931.02020388036,58467.79107384474,757.6201890126889,57,6,0,0.9825841135309376
142,stage1,142,2621182.4228770626,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.98195770649
143,stage1,143,2619465.1109946757,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9813134034553125
144,stage1,144,2617699.0846686857,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.98065082368
145,stage1,145,2615883.31477121,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9799695810546875
146,stage1,146,2614016.7577813203,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97926928407
147,stage1,147,2612098.355685085,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9785495357790625
148,stage1,148,2610127.035875628,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97780993376
149,stage1,149,2608101.7110531633,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9770500700784375
150,stage1,150,2606021.2791250567,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97626953125
151,stage1,151,2603884.6231058636,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9754678982028125
152,stage1,152,2601690.611017385,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97464474624
153,stage1,153,2599438.09578871,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9737996450021875
154,stage1,154,2597125.9151562667,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97293215843
155,stage1,155,2594752.891563872,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9720418447265625
156,stage1,156,2592317.8320627757,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.97112825632
157,stage1,157,2589819.528211714,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9701909398259375
158,stage1,158,2587256.755976952,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.96922943601
159,stage1,159,2584628.275632337,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9682432797503124
160,stage1,160,2581932.8316593454,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.967232
161,stage1,161,2579169.152647128,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9661951197496875
162,stage1,162,2576335.951192562,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.96513215599
163,stage1,163,2573431.9238002975,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9640426196740625
164,stage1,164,2570455.750782807,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.96292601568
165,stage1,165,2567406.0961604323,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9617818427734375
166,stage1,166,2564281.6075614323,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.96060959357
167,stage1,167,2561080.9161220347,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9594087544978125
168,stage1,168,2557802.6363864806,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.95817880576
169,stage1,169,2554445.366207074,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9569192212971875
170,stage1,170,2551007.686644229,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.95562946875
171,stage1,171,2547488.1618665224,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9543090094215625
172,stage1,172,2543885.3390507363,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.95295729824
173,stage1,173,2540197.748281909,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.9515737837209375
174,stage1,174,2536423.902453385,5889.751497085305,58451.29740266456,757.6201890126889,57,6,0,0.95015790793
175,stage1,175,2531546.455092537,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.9487091064453125
176,stage1,176,2527597.15387386,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.94722680832
177,stage1,177,2523557.0685680807,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.9457104360446875
178,stage1,178,2519424.6429269463,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.94415940551
179,stage1,179,2515198.30301785,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.9425731259690625
180,stage1,180,2510876.457123917,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.940951
181,stage1,181,2506457.495644095,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.9392924234684374
182,stage1,182,2501939.79099324,5889.224930615834,58427.84348625152,757.6201890126889,57,6,0,0.93759678549
183,stage1,183,2451356.1889475854,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9358634683928125
184,stage1,184,2446723.008971417,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.93409184768
185,stage1,185,2441988.005424753,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9322812919921875
186,stage1,186,2437149.50911817,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.93043116307
187,stage1,187,2432205.832719148,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9285408157165624
188,stage1,188,2427155.2706540003,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9266095977600001
189,stage1,189,2421996.0990097993,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9246368500159375
190,stage1,190,2416726.5754363104,5434.152443536694,58375.472328064665,757.6201890126889,56,6,0,0.9226219062500001
191,stage1,191,2411328.2506373054,5360.042419918313,58375.15790545184,757.6201890126889,56,6,0,0.9205640931403125
192,stage1,192,2405832.7515150225,5360.042419918313,58375.15790545184,757.6201890126889,56,6,0,0.91846273024
193,stage1,193,2400200.9029480233,5404.73492580357,58374.60088483304,757.6201890126889,56,6,0,0.9163171299396875
194,stage1,194,2394414.1785523533,5383.02145175429,58373.210804871174,757.6201890126889,56,6,0,0.91412659743
195,stage1,195,2388160.335476308,5387.7557191692,58363.279045069066,757.6201890126889,56,6,0,0.9118904306640625
196,stage1,196,2381914.8254365525,5352.31597557585,58356.52138316352,757.6201890126889,56,6,0,0.90960792032
197,stage1,197,2375557.6215279344,5372.401519198928,58349.93981933565,757.6201890126889,56,6,0,0.9072783497634375
198,stage1,198,2368850.632948488,5380.860083276677,58337.798215736344,757.6201890126889,56,6,0,0.90490099501
199,stage1,199,2362288.90145057,5406.833455912221,58332.29099549909,757.6201890126889,56,6,0,0.9024751246878124
200,stage1,200,2355367.1600294756,5395.059857359207,58321.07121668828,757.6201890126889,56,6,0,0.9
