conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,selected_strategy,target_flight
87,70,87,22,27,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
88,70,87,21,27,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
89,70,87,20,27,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
90,70,87,19,27,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
91,70,91,39,26,1,1.1842378929335004e-15,1.805962786723588e-14,0.9999999999999808,rerouting,91
92,70,87,28,28,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
93,70,87,26,28,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
94,70,87,25,28,1,7.401486830834377e-16,0.999999999999999,2.960594732333751e-16,speed,70
95,70,87,24,28,1,0.9999999999999994,2.960594732333751e-16,2.960594732333751e-16,scheduling,87
96,76,77,40,20,1,1.0590047357557826e-12,0.9999999999989359,5.181040781584064e-15,speed,76
97,78,97,48,15,1,0.9999999999999675,7.401486830834377e-16,3.182639337258782e-14,scheduling,97
98,95,99,28,59,0,0.999999999999999,7.401486830834377e-16,2.960594732333751e-16,scheduling,95
